agent,structure,stakes,K,reward_mean,reward_std,penalty_mean,penalty_std,utility_mean,utility_std,cog_mean,cog_std,cau_mean,cau_std,dual_mean,dual_rate_mean,dual_rate_std,dual_rate_cond_mean,dual_rate_cond_std,E_abs_mean,expansions_mean,revisions_mean
Network-NoTest,structured,1.0,100,70.51004801432163,32.38522669056634,0.7716076246071644,2.3872938119656353,69.73844038971446,32.92290481915844,1.7485300000000001,0.0192329972135957,67.98991038971445,32.92215938249552,17.87,0.223375,0.20480847637475724,0.30042028454378117,0.32364579329667703,0.6275533963732565,0.0,0.0
Network-NoTest,structured,1.0,200,66.49082985384975,30.963125198044683,0.4251356221626508,0.5492216662696224,66.06569423168709,30.872578310549418,1.74889,0.021416455016051224,64.31680423168709,30.867993615937728,11.95,0.149375,0.17728820590932004,0.17187092297697135,0.29130036907689666,0.5929720275280694,0.0,0.0
Network-NoTest,unstructured,0.0,20,35.92363317839005,27.597835969914424,0.0,0.0,35.92363317839005,27.597835969914424,1.64678,0.0835719710395438,34.27685317839005,27.629670275110158,0.0,0.0,0.0,0.0,0.0,30.648647901407475,0.0,0.0
Network-NoTest,unstructured,0.0,50,18.31530938613045,18.87931966153745,0.0,0.0,18.31530938613045,18.87931966153745,1.7502000000000002,0.019089898963175315,16.56510938613045,18.877819939816078,0.0,0.0,0.0,0.0,0.0,29.08757094571575,0.0,0.0
Network-NoTest,unstructured,0.0,100,9.588197559188032,13.023210639519666,0.0,0.0,9.588197559188032,13.023210639519666,1.75096,0.0198305549365344,7.837237559188033,13.024218885990246,0.0,0.0,0.0,0.0,0.0,21.45912729676204,0.0,0.0
Network-NoTest,unstructured,0.0,200,3.5389257515382067,11.321361931180673,0.0,0.0,3.5389257515382067,11.321361931180673,1.74709,0.023395628962382134,1.7918357515382064,11.322774840679154,0.0,0.0,0.0,0.0,0.0,22.323766427322003,0.0,0.0
Network-NoTest,unstructured,1.0,20,41.68467010495968,35.852650963696355,0.4747901419958332,1.1547591756268853,41.20987996296384,35.968623234931215,1.66311,0.05988657545052911,39.54676996296384,35.95984981524067,20.66,0.25825,0.2574472830218908,0.21715654050306005,0.2362985877603645,0.6471918253067216,0.0,0.0
Network-NoTest,unstructured,1.0,50,22.873816082557763,31.728573033581036,0.3100344106997086,0.5040563467469688,22.563781671858056,31.61736780197309,1.74601,0.028769545837165466,20.817771671858054,31.620453456051504,6.66,0.08324999999999999,0.1454401626411732,0.08632177414701603,0.17881109392384814,0.5258196283575005,0.0,0.0
Network-NoTest,unstructured,1.0,100,9.60974388346102,24.23591620080267,0.2768021050855081,0.5106246958656274,9.33294177837551,24.233037242035223,1.7516800000000001,0.02000145449256582,7.58126177837551,24.232841386195542,5.16,0.0645,0.10262833798506023,0.06814658183420734,0.15256373840592222,0.4896557123386135,0.0,0.0
Network-NoTest,unstructured,1.0,200,7.542511092323508,26.749066699605272,0.43313499120478915,1.3282436813938523,7.109376101118719,26.28284906456243,1.75285,0.023600365944774528,5.356526101118718,26.28169318991,5.55,0.069375,0.12100138522873502,0.06261718915518905,0.15679850290462505,0.5367389424712715,0.0,0.0
Network-NoUpdate,structured,0.0,20,78.74631265012462,33.27468233781833,0.0,0.0,78.74631265012462,33.27468233781833,1.68309,0.0741797019528805,77.06322265012463,33.29538987157938,0.0,0.0,0.0,0.0,0.0,31.828199931415682,0.0,0.0
Network-NoUpdate,structured,0.0,50,89.8368836763897,33.97395258360813,0.0,0.0,89.8368836763897,33.97395258360813,1.74887,0.022652693999931743,88.0880136763897,33.974226933188014,0.0,0.0,0.0,0.0,0.0,30.81158375363947,0.0,0.0
Network-NoUpdate,structured,0.0,100,89.4779875546343,34.21084806638828,0.0,0.0,89.4779875546343,34.21084806638828,1.7515,0.021386061731034908,87.72648755463428,34.214740993309036,0.0,0.0,0.0,0.0,0.0,30.069821523536294,0.0,0.0
Network-NoUpdate,structured,0.0,200,83.51533355107175,34.11528389918871,0.0,0.0,83.51533355107175,34.11528389918871,1.75033,0.02329609799554815,81.76500355107174,34.116149305470564,0.0,0.0,0.0,0.0,0.0,32.458574361916405,0.0,0.0
Network-NoUpdate,structured,1.0,20,71.31381387190292,35.78100840980119,0.5560684989928015,1.314738210500221,70.75774537291012,35.829045689326136,1.6753299999999998,0.07428134545650263,69.08241537291012,35.86315573249227,23.08,0.28850000000000003,0.23319584694051268,0.24072475118718714,0.24819422808014022,0.6286649737167226,0.0,0.0
Network-NoUpdate,structured,1.0,50,67.44265487013661,32.90692554333942,0.3637501665074009,0.7142729103822474,67.0789047036292,32.907405805497184,1.7489599999999998,0.028751432111893935,65.3299447036292,32.90337163818985,16.68,0.20850000000000002,0.2274826555714932,0.23610349326392388,0.29996245792779175,0.5658674948897692,0.0,0.0
Network-NoUpdate,structured,1.0,100,68.39463003345406,34.32983146263173,0.43087428514660236,0.6303188544652989,67.96375574830746,34.41456970698698,1.7506,0.01749285568453583,66.21315574830746,34.412838634748326,16.23,0.20287500000000003,0.20407662671336735,0.28969409366651905,0.3266943679355017,0.5641778653707548,0.0,0.0
Network-NoUpdate,structured,1.0,200,66.90111127056981,29.563435445202096,0.5122541704108947,0.7543544008336015,66.38885710015892,29.567507307991338,1.74988,0.020975830246868752,64.63897710015891,29.5675490405166,12.84,0.1605,0.1809915869466162,0.19578426390067385,0.29834351664371406,0.6022599260787611,0.0,0.0
Network-NoUpdate,unstructured,0.0,20,33.108854747923544,25.876639671730434,0.0,0.0,33.108854747923544,25.876639671730434,4.43649,8.000597766171014,28.672364747923538,27.833135744381032,0.0,0.0,0.0,0.0,0.0,27.216666748321483,0.11,0.0
Network-NoUpdate,unstructured,0.0,50,17.019456064377344,19.720581200380884,0.0,0.0,17.019456064377344,19.720581200380884,8.24978,11.318217593175376,8.769676064377343,23.04433778867209,0.0,0.0,0.0,0.0,0.0,25.75182229626905,0.25,0.0
Network-NoUpdate,unstructured,0.0,100,9.916414669924066,14.293277385014738,0.0,0.0,9.916414669924066,14.293277385014738,11.474110000000001,13.026164520651921,-1.557695330075934,19.855479820777624,0.0,0.0,0.0,0.0,0.0,23.085076340868287,0.36,0.0
Network-NoUpdate,unstructured,0.0,200,4.978459422206453,11.471478895311437,0.0,0.0,4.978459422206453,11.471478895311437,10.739970000000001,13.47965089801751,-5.761510577793548,17.167204410669537,0.0,0.0,0.0,0.0,0.0,25.16347814825344,0.31,0.0
Network-NoUpdate,unstructured,1.0,20,40.127648784452816,36.957306851328134,0.3657407877542797,0.5668465004489637,39.76190799669853,36.87400886772876,3.18876,6.066274747780185,36.57314799669853,37.56629838250272,19.27,0.24087499999999998,0.26239388788420714,0.20350812097360188,0.248159303454896,0.6530898750494946,0.06,0.0
Network-NoUpdate,unstructured,1.0,50,21.242016748710604,31.178135494302893,0.33529399058231246,0.5986340534258865,20.906722758128293,31.0290491741466,4.6067,8.176742809933426,16.300022758128293,32.08637017945039,7.53,0.094125,0.1451276758512304,0.08725051755548377,0.18524365554109798,0.5609313882409055,0.11,0.0
Network-NoUpdate,unstructured,1.0,100,12.372573035599617,27.003984408928016,0.2337444355246344,0.3188194978512652,12.138828600074982,26.98272183619961,5.5252,9.414002520423791,6.613628600074983,28.093701050737472,5.32,0.0665,0.10720390276327056,0.0674946307074833,0.15067460824108125,0.5020534418000776,0.14,0.0
Network-NoUpdate,unstructured,1.0,200,4.5898346698092345,23.607371143054376,0.44129022938255574,1.5635688313559861,4.148544440426679,23.468984426509014,8.41997,12.262076214903454,-4.27142555957332,25.61746771839446,3.85,0.048125,0.05933594542258445,0.03887799097868374,0.0880604472711488,0.5173833446061432,0.23,0.0
